Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Arginine biosynthesis	2/21	2.857953111961309E-4	0.00600170153511875	0	0	95.48803827751196	779.2048032433584	ARG2;GOT1
Arginine and proline metabolism	2/49	0.0015679866104777358	0.016463859410016227	0	0	38.54738878143134	248.93760650075666	ARG2;GOT1
NF-kappa B signaling pathway	2/95	0.005756502851391889	0.0272255412699106	0	0	19.435972629521018	100.23957371439215	PARP1;CSNK2A2
Phenylalanine, tyrosine and tryptophan biosynthesis	1/5	0.0059861389875960165	0.0272255412699106	0	0	217.08695652173913	1111.1180475941821	GOT1
Ribosome biogenesis in eukaryotes	2/101	0.006482271730931095	0.0272255412699106	0	0	18.252525252525253	91.96871159100819	CSNK2A2;GAR1
Phenylalanine metabolism	1/17	0.020213186577968428	0.0707461530228895	0	0	54.23913043478261	211.60963296162683	GOT1
Terpenoid backbone biosynthesis	1/22	0.026083356159203222	0.07825006847760967	0	0	41.31469979296066	150.65231192236567	ICMT
Base excision repair	1/33	0.0388793298193351	0.0889162727935537	0	0	27.097826086956523	87.994568412846	PARP1
Alanine, aspartate and glutamate metabolism	1/35	0.04118849455469982	0.0889162727935537	0	0	25.501278772378516	81.33878492786673	GOT1
Tyrosine metabolism	1/36	0.04234108228264462	0.0889162727935537	0	0	24.771428571428572	78.32719402267635	GOT1
Cysteine and methionine metabolism	1/47	0.054932232402403476	0.10487062549549755	0	0	18.83742911153119	54.65972021027424	GOT1
Mitophagy	1/65	0.07519442056128409	0.12444176210484487	0	0	13.527173913043478	35.00397365710232	CSNK2A2
Retinol metabolism	1/67	0.07741990207236189	0.12444176210484487	0	0	13.115942028985508	33.557287186130516	BCO1
Adherens junction	1/72	0.08296117473656324	0.12444176210484487	0	0	12.189222290263318	30.343637326988627	CSNK2A2
Amoebiasis	1/96	0.1091182759636125	0.1527655863490575	0	0	9.098855835240274	20.15690355426019	ARG2
Spliceosome	1/134	0.14907714860631013	0.18466741128880138	0	0	6.486760379208892	12.34619479702853	RP9
Measles	1/138	0.1531819864913029	0.18466741128880138	0	0	6.296096477308791	11.812286733900033	CSNK2A2
Apoptosis	1/143	0.15828635253325832	0.18466741128880138	0	0	6.072872014696877	11.19442576486264	PARP1
Wnt signaling pathway	1/158	0.1734231440596118	0.18534440397131985	0	0	5.488507338687344	9.615978751903613	CSNK2A2
Necroptosis	1/162	0.17741535197803585	0.18534440397131985	0	0	5.351066702673508	9.253394564376693	PARP1
Tight junction	1/170	0.18534440397131985	0.18534440397131985	0	0	5.095703627476203	8.5890099560058	MPP4
