Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Autophagy	21/128	1.4999639710387385E-4	0.04289896957170792	0	0	2.7077682131648353	23.841626399881637	MAP2K2;BAD;MTMR14;ATG9A;DAPK3;AMBRA1;ZFYVE1;IGF1R;VAMP8;ATG16L2;AKT2;TP53INP2;RPS6KB2;ATG2A;ATG4B;ULK1;ATG7;CTSD;HRAS;BCL2L1;ATG4D
Insulin resistance	18/108	3.554509793998645E-4	0.05082949005418062	0	0	2.7557206537890044	21.886272965319495	MLXIP;CRTC2;NOS3;INSR;GFPT2;NR1H2;STAT3;NR1H3;SLC2A4;CPT1B;TNFRSF1A;PPP1CA;MLXIPL;GYS1;AKT2;RPS6KB2;SLC27A5;PPARGC1B
Sphingolipid signaling pathway	18/119	0.0011593142644032725	0.0832052143415329	0	0	2.4541362011386876	16.589780586196614	ABCC1;MAP2K2;SPHK2;NOS3;SPHK1;PPP2R5B;TRAF2;PPP2R5D;MAPK12;TNFRSF1A;MAPK11;PPP2R1A;AKT2;PPP2R2D;S1PR1;CTSD;HRAS;PLCB2
HIF-1 signaling pathway	16/100	0.0011637092914899706	0.0832052143415329	0	0	2.6214497668503602	17.71088873310269	CAMK2B;CREBBP;EGLN3;MAP2K2;EGLN2;NOS3;INSR;STAT3;ARNT;ENO3;IGF1R;AKT2;MKNK2;RPS6KB2;EIF4EBP1;EP300
Acute myeloid leukemia	12/66	0.0015247427994639455	0.08721528812933768	0	0	3.054240631163708	19.809589529599545	STAT5A;MAP2K2;JUP;BAD;AKT2;STAT3;RPS6KB2;ARAF;EIF4EBP1;HRAS;PML;PPARD
Adrenergic signaling in cardiomyocytes	20/145	0.002021573425641569	0.09453235514226337	0	0	2.2036904761904763	13.671429392094065	CAMK2B;TPM2;TNNC1;TPM1;PPP2R5B;ATP1A4;PPP2R5D;ADCY6;MAPK12;PPP1CA;MAPK11;PPP2R1A;AKT2;TNNT2;MYL3;PPP2R2D;TNNI3;PLCB2;RAPGEF3;MYH7
Glycerophospholipid metabolism	15/97	0.002313728972013439	0.09453235514226337	0	0	2.515955811893182	15.269071099518968	DGKD;PCYT2;PNPLA7;LPCAT1;LCAT;PLA2G6;AGPAT1;DGKZ;PLD3;AGPAT3;PISD;PGS1;GPAT4;PEMT;PNPLA6
Non-alcoholic fatty liver disease (NAFLD)	20/149	0.0027969614033312626	0.09717710541318321	0	0	2.1348975636766334	12.551536007145117	MLXIP;NDUFA13;GSK3A;NDUFB7;NDUFA11;INSR;NR1H3;TRAF2;ADIPOR1;COX5B;TNFRSF1A;MLXIPL;NDUFS8;NDUFS7;NDUFS6;AKT2;DDIT3;UQCRC1;CYC1;NDUFV1
mTOR signaling pathway	20/152	0.0035301785460962213	0.09717710541318321	0	0	2.086038961038961	11.778624636600187	SEC13;MAP2K2;FZD4;INSR;NPRL3;WNT9B;LRP5;IGF1R;TNFRSF1A;AKT2;DVL1;RPS6KB2;EIF4EBP1;DVL3;ULK1;LAMTOR2;LAMTOR4;HRAS;TELO2;ATP6V1F
Human papillomavirus infection	36/330	0.0036214418209046567	0.09717710541318321	0	0	1.6912343250553232	9.506230333311448	LAMA5;NOTCH1;ITGB4;UBR4;RFNG;TCIRG1;PPP2R1A;AKT2;DVL1;EIF4EBP1;EP300;DVL3;ATP6V0E2;HRAS;ATP6V1F;BCAP31;CREBBP;MAP2K2;FZD4;BAD;LAMB2;STAT2;WNT9B;AXIN1;PPP2R5B;PPP2R5D;TNFRSF1A;COL4A2;COL4A1;COL6A2;TADA3;COL6A1;PPP2R2D;RPS6KB2;ATP6V0D1;LLGL1
