Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	2/153	0.02198440157069816	0.24255062243345762	0	0	9.37511825922422	35.78878360110144	RPL11;RPL19
Tight junction	2/170	0.02673691243460284	0.24255062243345762	0	0	8.41921768707483	30.49196640613993	MARVELD2;PARD3
African trypanosomiasis	1/37	0.05407452407786471	0.24255062243345762	0	0	19.093869731800766	55.70430487305193	F2RL1
Ferroptosis	1/40	0.05833287602349702	0.24255062243345762	0	0	17.622458001768347	50.075790447561154	LPCAT3
Hedgehog signaling pathway	1/47	0.06819709010486186	0.24255062243345762	0	0	14.935532233883059	40.10718199812654	CDON
Notch signaling pathway	1/48	0.06959808398100582	0.24255062243345762	0	0	14.617021276595745	38.95462833164002	JAG1
Human papillomavirus infection	2/330	0.08728733554955997	0.24255062243345762	0	0	4.277439024390244	10.430748483029253	JAG1;PARD3
Neuroactive ligand-receptor interaction	2/338	0.09091506953684449	0.24255062243345762	0	0	4.17389455782313	10.008287542608343	PARD3;F2RL1
Adherens junction	1/72	0.10261757102953976	0.24255062243345762	0	0	9.664400194269062	22.00338548313555	PARD3
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.10261757102953976	0.24255062243345762	0	0	9.664400194269062	22.00338548313555	PKP2
p53 signaling pathway	1/72	0.10261757102953976	0.24255062243345762	0	0	9.664400194269062	22.00338548313555	PERP
Th1 and Th2 cell differentiation	1/92	0.12926585451198197	0.25946061870642056	0	0	7.532777567260326	15.411189911294057	JAG1
Glycerophospholipid metabolism	1/97	0.135807441882233	0.25946061870642056	0	0	7.1386494252873565	14.2524368267114	LPCAT3
Inflammatory mediator regulation of TRP channels	1/100	0.13970956391884184	0.25946061870642056	0	0	6.921281783350749	13.622394510819323	F2RL1
TNF signaling pathway	1/110	0.15259401240379375	0.26449628816657583	0	0	6.283138247390067	11.812139044804999	JAG1
Purine metabolism	1/129	0.1765624599692897	0.2652848293781563	0	0	5.345366379310345	9.269296054674214	PRUNE1
Spliceosome	1/134	0.18276020667120516	0.2652848293781563	0	0	5.143116411718952	8.74113949573476	USP39
Apelin signaling pathway	1/137	0.18645718406173262	0.2652848293781563	0	0	5.028904665314402	8.446315147566118	JAG1
Breast cancer	1/147	0.1986640481617168	0.2652848293781563	0	0	4.682097307510628	7.566925122118201	JAG1
Phagosome	1/152	0.20470089590608487	0.2652848293781563	0	0	4.525919159625485	7.179037454618381	MARCO
Hippo signaling pathway	1/160	0.21426851603620314	0.2652848293781563	0	0	4.29646497505964	6.61881300609656	PARD3
Axon guidance	1/181	0.2388571515483527	0.2816658143472709	0	0	3.7911877394636013	5.428562288226419	PARD3
Chemokine signaling pathway	1/190	0.2491659126918166	0.2816658143472709	0	0	3.60901295384054	5.0152153658758865	PARD3
Rap1 signaling pathway	1/206	0.2671602938179036	0.28942365163606226	0	0	3.3246425567703954	4.388217152440667	PARD3
Endocytosis	1/244	0.30824198390949503	0.32057166326587483	0	0	2.799347239960267	3.294468185018778	PARD3
Pathways in cancer	1/530	0.5534994474490494	0.5534994474490494	0	0	1.267257675510071	0.749575976979631	JAG1
