Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Circadian rhythm	2/31	6.28216029972281E-4	0.02701328928880808	0	0	62.529780564263326	461.00871434328997	CRY1;ARNTL
Glycine, serine and threonine metabolism	1/40	0.04693816966805759	0.22375038067091754	0	0	22.226309921962095	67.98859468163421	BHMT
Bladder cancer	1/41	0.04808413292751671	0.22375038067091754	0	0	21.669565217391305	65.76286224679887	EGF
Cysteine and methionine metabolism	1/47	0.054932232402403476	0.22375038067091754	0	0	18.83742911153119	54.65972021027424	BHMT
Ovarian steroidogenesis	1/49	0.05720442221925741	0.22375038067091754	0	0	18.05072463768116	51.645362778983234	HSD3B2
Endometrial cancer	1/58	0.06736465064138245	0.22375038067091754	0	0	15.193745232646835	40.98717694310057	EGF
Steroid hormone biosynthesis	1/60	0.06960818636657555	0.22375038067091754	0	0	14.67722918201916	39.11295320546662	HSD3B2
Cortisol synthesis and secretion	1/65	0.07519442056128409	0.22375038067091754	0	0	13.527173913043478	35.00397365710232	HSD3B2
Non-small cell lung cancer	1/66	0.07630780362012095	0.22375038067091754	0	0	13.31839464882943	34.26796400153892	EGF
Melanoma	1/72	0.08296117473656324	0.22375038067091754	0	0	12.189222290263318	30.343637326988627	EGF
Pancreatic cancer	1/75	0.08627061346912118	0.22375038067091754	0	0	11.693301997649824	28.65170329299039	EGF
Glioma	1/75	0.08627061346912118	0.22375038067091754	0	0	11.693301997649824	28.65170329299039	EGF
ErbB signaling pathway	1/85	0.09721961435239947	0.22375038067091754	0	0	10.296066252587991	23.997894068696958	EGF
Colorectal cancer	1/86	0.09830757280729437	0.22375038067091754	0	0	10.174424552429668	23.601146819428006	EGF
Gap junction	1/88	0.10047972148621662	0.22375038067091754	0	0	9.93953023488256	22.83904609412469	EGF
TGF-beta signaling pathway	1/90	0.10264685505345643	0.22375038067091754	0	0	9.715192965315095	22.1162556930706	BAMBI
mRNA surveillance pathway	1/91	0.10372854466080887	0.22375038067091754	0	0	9.606763285024154	21.76871367585296	MAGOHB
Prostate cancer	1/97	0.11019248853743883	0.22375038067091754	0	0	9.003623188405797	19.85772995832064	EGF
Aldosterone synthesis and secretion	1/98	0.11126545974097125	0.22375038067091754	0	0	8.910354101299866	19.565679904837808	HSD3B2
Choline metabolism in cancer	1/99	0.11233719097294506	0.22375038067091754	0	0	8.818988464951198	19.28051614969918	EGF
HIF-1 signaling pathway	1/100	0.11340768358102403	0.22375038067091754	0	0	8.729468599033817	19.002011610155247	EGF
Ribosome biogenesis in eukaryotes	1/101	0.1144769389479113	0.22375038067091754	0	0	8.641739130434782	18.729948827545332	RBM28
Dopaminergic synapse	1/131	0.14598601360501082	0.22814962091891822	0	0	6.637458193979933	12.77209215219812	ARNTL
FoxO signaling pathway	1/132	0.14701758568712792	0.22814962091891822	0	0	6.586458679057418	12.627578792236436	EGF
Spliceosome	1/134	0.14907714860631013	0.22814962091891822	0	0	6.486760379208892	12.34619479702853	MAGOHB
Breast cancer	1/147	0.16234860258963366	0.22814962091891822	0	0	5.905300774270399	10.735892245784257	EGF
Phospholipase D signaling pathway	1/148	0.16336122560299707	0.22814962091891822	0	0	5.8648328896776105	10.625853921726193	EGF
Gastric cancer	1/149	0.16437267541565267	0.22814962091891822	0	0	5.824911868390129	10.517571648368879	EGF
Ribosome	1/153	0.16840676870212098	0.22814962091891822	0	0	5.670480549199085	10.101240855441755	RPL11
Cushing syndrome	1/155	0.1704168099322024	0.22814962091891822	0	0	5.596273291925466	9.902650470022865	HSD3B2
Hepatitis C	1/155	0.1704168099322024	0.22814962091891822	0	0	5.596273291925466	9.902650470022865	EGF
Wnt signaling pathway	1/158	0.1734231440596118	0.22814962091891822	0	0	5.488507338687344	9.615978751903613	BAMBI
JAK-STAT signaling pathway	1/162	0.17741535197803585	0.22814962091891822	0	0	5.351066702673508	9.253394564376693	EGF
RNA transport	1/165	0.18039737468007488	0.22814962091891822	0	0	5.252386002120891	8.995200678276463	MAGOHB
Focal adhesion	1/199	0.21347770736093505	0.2622726119005774	0	0	4.342995169082125	6.706552451090786	EGF
Rap1 signaling pathway	1/206	0.2201276714116635	0.2629302741861536	0	0	4.1932131495227996	6.34662759959808	EGF
Regulation of actin cytoskeleton	1/214	0.2276616534130022	0.2645797593718674	0	0	4.0340885895080625	5.970026437793035	EGF
Ras signaling pathway	1/232	0.24435892936879489	0.27651142007521523	0	0	3.7163561076604554	5.236780987740579	EGF
MAPK signaling pathway	1/295	0.30011744982291316	0.33089872672782733	0	0	2.9106773144040226	3.5032370232646035	EGF
Human papillomavirus infection	1/330	0.3293677115645372	0.3522717841003967	0	0	2.5964054446940663	2.8835172258366426	EGF
Neuroactive ligand-receptor interaction	1/338	0.33588704995619223	0.3522717841003967	0	0	2.533737582247452	2.7642578797747195	HRH4
PI3K-Akt signaling pathway	1/354	0.34874398934966194	0.357047417667511	0	0	2.4169232664121196	2.5460284935978	EGF
Pathways in cancer	1/530	0.4753131174006211	0.4753131174006211	0	0	1.5983397715131091	1.1888155489187147	EGF
