Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitophagy	4/65	0.005184481303314749	0.4004526795262646	0	0	6.159250585480094	32.41050307500395	GABARAPL1;CSNK2A2;TOMM7;ATF4
Tyrosine metabolism	3/36	0.006650405973188108	0.4004526795262646	0	0	8.510555794915984	42.664074726109085	FAHD1;MAOA;AOX1
RNA transport	6/165	0.00877165453770025	0.4004526795262646	0	0	3.56077648766328	16.864655824491937	EIF2B4;PRMT5;EIF3CL;EIF3F;EIF2B1;EIF3C
RNA degradation	4/79	0.01025122604249001	0.4004526795262646	0	0	5.005968253968254	22.929126572857616	PAN2;BTG1;EXOSC10;NUDT16
ABC transporters	3/45	0.01232162090850045	0.4004526795262646	0	0	6.683818551117129	29.38473828927112	ABCC3;ABCC2;ABCC8
Proteasome	3/45	0.01232162090850045	0.4004526795262646	0	0	6.683818551117129	29.38473828927112	PSMC5;PSME1;PSMA7
Cocaine addiction	3/49	0.015508774631479625	0.42139506805331856	0	0	6.10138058932619	25.42048280824818	MAOA;BDNF;ATF4
Steroid biosynthesis	2/19	0.017288002791931018	0.42139506805331856	0	0	10.970588235294118	44.51582211350821	NSDHL;TM7SF2
Ribosome biogenesis in eukaryotes	4/101	0.02326445993598742	0.5040632986130608	0	0	3.8662739322533137	14.540392835742454	UTP4;BMS1;CSNK2A2;UTP14A
Basal cell carcinoma	3/63	0.02999985798059602	0.5761598134059296	0	0	4.674407582938389	16.391102953850023	BMP4;CDKN1A;WNT11
Protein processing in endoplasmic reticulum	5/165	0.03250132280751398	0.5761598134059296	0	0	2.9345095693779903	10.05502217633461	PPP1R15A;CRYAA2;CRYAA;RNF5;ATF4
Leishmaniasis	3/74	0.04500805316841485	0.6924785340817241	0	0	3.9480008010146186	12.242410347589278	C3;NCF4;MYD88
Endocytosis	6/244	0.047801279080880284	0.6924785340817241	0	0	2.369263089851325	7.204225102751584	GRK5;CHMP4C;CBLC;CLTA;ARPC4;ARRB2
Chemokine signaling pathway	5/190	0.05382206640212885	0.6924785340817241	0	0	2.5347213241950084	7.406637549526434	STAT5B;HCK;CXCL12;GRK5;ARRB2
DNA replication	2/36	0.056606915804254226	0.6924785340817241	0	0	5.480577136514984	15.738157463212005	POLE4;RPA2
Huntington disease	5/193	0.05681875151439788	0.6924785340817241	0	0	2.4938918863890867	7.152204797527758	BDNF;ATP5PO;NDUFS3;NDUFB2;CLTA
Vitamin B6 metabolism	1/6	0.06251430040361035	0.7170757987472952	0	0	18.573708920187794	51.49300658384643	AOX1
Homologous recombination	2/41	0.0711917281132405	0.7353610120020755	0	0	4.776729559748428	12.621928183999453	RAD54L;RPA2
Tryptophan metabolism	2/42	0.07424112370605004	0.7353610120020755	0	0	4.657075471698113	12.11043162216954	MAOA;AOX1
NF-kappa B signaling pathway	3/95	0.08192628077649679	0.7353610120020755	0	0	3.0435812899237584	7.614843927245145	CXCL12;CSNK2A2;MYD88
Ribosome	4/153	0.08221541528300448	0.7353610120020755	0	0	2.510322786832854	6.271821730866233	MRPS15;RPL22;MRPS21;MRPL24
Herpes simplex virus 1 infection	9/492	0.08303653794580719	0.7353610120020755	0	0	1.7545523405544614	4.366158849337095	C3;ZNF671;EIF2B4;ZNF74;ZNF79;EIF2B1;ZNF554;MYD88;ZNF343
Nucleotide excision repair	2/47	0.09008190990875128	0.7353610120020755	0	0	4.138574423480084	9.961697263679012	POLE4;RPA2
