Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteasome	4/45	4.542128785044652E-5	0.0037245456037366146	0	0	23.07897793263647	230.7789245313555	PSMC6;PSMA4;PSMC2;PSMD1
Phosphonate and phosphinate metabolism	1/6	0.026114352916579615	0.5443834544328948	0	0	45.763218390804596	166.81929605604782	PCYT1B
Chemical carcinogenesis	2/82	0.05067295688688564	0.5443834544328948	0	0	5.765116279069767	17.193668936168475	HPGDS;KYAT3
Non-homologous end-joining	1/13	0.05573004881593627	0.5443834544328948	0	0	19.061302681992338	55.03447552600268	XRCC4
Epstein-Barr virus infection	3/201	0.05900144062855249	0.5443834544328948	0	0	3.5140819964349377	9.945531736416624	PSMC6;PSMC2;PSMD1
Glycerophospholipid metabolism	2/97	0.06813344331934781	0.5443834544328948	0	0	4.851162790697674	13.031616000617815	PCYT1B;LPCAT2
Selenocompound metabolism	1/17	0.0722516994220309	0.5443834544328948	0	0	14.293103448275861	37.55655048582739	KYAT3
Protein export	1/23	0.09649975016763866	0.5443834544328948	0	0	10.391849529780565	24.298376989020504	SRP54
Renin-angiotensin system	1/23	0.09649975016763866	0.5443834544328948	0	0	10.391849529780565	24.298376989020504	CPA3
Fatty acid elongation	1/27	0.11231593236202139	0.5443834544328948	0	0	8.791335101679929	19.221722799537645	PPT1
Oxidative phosphorylation	2/133	0.11629404041244032	0.5443834544328948	0	0	3.511627906976744	7.555736117766491	PPA2;UQCRFS1
Asthma	1/31	0.12785833813457156	0.5443834544328948	0	0	7.617624521072797	15.668176630929226	MS4A2
Circadian rhythm	1/31	0.12785833813457156	0.5443834544328948	0	0	7.617624521072797	15.668176630929226	PRKAG2
RNA polymerase	1/31	0.12785833813457156	0.5443834544328948	0	0	7.617624521072797	15.668176630929226	POLR3B
Parkinson disease	2/142	0.12939936130055482	0.5443834544328948	0	0	3.2843853820598006	6.716081468064226	UQCRFS1;VDAC2
SNARE interactions in vesicular transport	1/34	0.1393382980115978	0.5443834544328948	0	0	6.924068268895855	13.64630343816304	STX18
Non-alcoholic fatty liver disease (NAFLD)	2/149	0.13982015375264947	0.5443834544328948	0	0	3.1268786584401203	6.1518157514551515	PRKAG2;UQCRFS1
Ribosome	2/153	0.1458552777850159	0.5443834544328948	0	0	3.0434313876482366	5.85903270965512	MRPL1;MRPL15
Necroptosis	2/162	0.1596251506381575	0.5443834544328948	0	0	2.8709302325581394	5.267947458924622	FAF1;VDAC2
Ferroptosis	1/40	0.16185189522239182	0.5443834544328948	0	0	5.857058650162099	10.666134816638436	VDAC2
Bladder cancer	1/41	0.1655471319817381	0.5443834544328948	0	0	5.710344827586207	10.27005139970623	RPS6KA5
Tryptophan metabolism	1/42	0.16922626146972133	0.5443834544328948	0	0	5.570787776843286	9.896608292857467	KYAT3
Tight junction	2/170	0.17206034646948093	0.5443834544328948	0	0	2.733111849390919	4.810030908030489	HSPA4;PRKAG2
Basal transcription factors	1/45	0.18016769899440424	0.5443834544328948	0	0	5.1901776384535	8.895275220552985	GTF2F2
Cysteine and methionine metabolism	1/47	0.1873827189052783	0.5443834544328948	0	0	4.964017991004498	8.312755093398941	KYAT3
Ether lipid metabolism	1/47	0.1873827189052783	0.5443834544328948	0	0	4.964017991004498	8.312755093398941	LPCAT2
Amino sugar and nucleotide sugar metabolism	1/48	0.19096665203568397	0.5443834544328948	0	0	4.858156028368795	8.043437425907788	GNPDA2
N-Glycan biosynthesis	1/50	0.19808770290364253	0.5443834544328948	0	0	4.659394792399718	7.5437717166037235	MGAT4A
Cholesterol metabolism	1/50	0.19808770290364253	0.5443834544328948	0	0	4.659394792399718	7.5437717166037235	VDAC2
Huntington disease	2/193	0.20859172587132388	0.5443834544328948	0	0	2.401193230244734	3.763573606324517	UQCRFS1;VDAC2
