Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquitin mediated proteolysis	8/137	1.0603858320550117E-5	0.0013678977233509651	0	0	8.433253140871425	96.59694930322098	ANAPC13;MAP3K1;FBXW7;RCHY1;PIAS2;UBE2J1;BIRC3;CUL4B
Herpes simplex virus 1 infection	13/492	1.080132764491258E-4	0.006966856330968614	0	0	3.754607813898002	34.29179587697788	PDIA3;ZNF221;ZNF583;EIF2S1;ZNF616;ZNF426;ZNF436;ZNF599;ZNF256;TLR3;ZNF684;BIRC3;ZNF596
Basal transcription factors	4/45	3.843824860656542E-4	0.01652844690082313	0	0	12.968407267965297	101.98190055258243	GTF2H2C;GTF2B;GTF2H2;GTF2E2
Nucleotide excision repair	3/47	0.005564060371269521	0.17944094697344207	0	0	9.001363636363637	46.72992361064146	GTF2H2C;GTF2H2;CUL4B
Necroptosis	5/162	0.008207389118641566	0.1901615444797257	0	0	4.236959889826132	20.34893377498001	HSP90AA1;FAF1;TNFAIP3;TLR3;BIRC3
Protein processing in endoplasmic reticulum	5/165	0.008844722999057008	0.1901615444797257	0	0	4.156883445945946	19.653471696724534	PDIA3;HSP90AA1;EIF2S1;HSP90B1;UBE2J1
Viral carcinogenesis	5/201	0.019321453576104295	0.2975556956447308	0	0	3.387169056811914	13.367595514504126	SNW1;GTF2H2C;GTF2B;GTF2H2;GTF2E2
Antigen processing and presentation	3/77	0.021267192740104492	0.2975556956447308	0	0	5.344054054054054	20.577759179400136	PDIA3;HSP90AA1;PSME3
Nicotinate and nicotinamide metabolism	2/30	0.02198440157069816	0.2975556956447308	0	0	9.37511825922422	35.78878360110144	NT5C3A;NMNAT1
Parkinson disease	4/142	0.023728124160307576	0.2975556956447308	0	0	3.8340628343546346	14.343590465728655	NDUFA5;NDUFA12;NDUFS1;UBE2J1
Retrograde endocannabinoid signaling	4/148	0.02709253783106673	0.2975556956447308	0	0	3.6731916480238627	13.254700843237055	NDUFA5;NDUFA12;NDUFS1;GNG11
Non-alcoholic fatty liver disease (NAFLD)	4/149	0.027679599594858675	0.2975556956447308	0	0	3.64767414950243	13.084424626131822	NDUFA5;NDUFA12;NDUFS1;EIF2S1
IL-17 signaling pathway	3/93	0.034562586602808615	0.33600890465109157	0	0	4.390444444444444	14.773773086948372	HSP90AA1;TNFAIP3;HSP90B1
NF-kappa B signaling pathway	3/95	0.03646608267531227	0.33600890465109157	0	0	4.2945652173913045	14.220905985650235	CCL13;TNFAIP3;BIRC3
NOD-like receptor signaling pathway	4/178	0.04803455156050218	0.4130971434203187	0	0	3.035254184988043	9.21452998674611	HSP90AA1;RIPK2;TNFAIP3;BIRC3
Huntington disease	4/193	0.061097990014256746	0.492602544489945	0	0	2.792230389545826	7.805055459967067	NDUFA5;NDUFA12;DNAH6;NDUFS1
Autophagy	3/128	0.07521366241898661	0.5102072965027027	0	0	3.15552	8.16466307934466	ATG3;RRAGD;EIF2S1
Taurine and hypotaurine metabolism	1/11	0.08102321014440983	0.5102072965027027	0	0	13.050657894736842	32.79655934812105	GADL1
Oxidative phosphorylation	3/133	0.08221267812859444	0.5102072965027027	0	0	3.0333846153846156	7.578746911561568	NDUFA5;NDUFA12;NDUFS1
Spliceosome	3/134	0.08364523122726769	0.5102072965027027	0	0	3.0100763358778626	7.46851369641695	HNRNPM;SNW1;NCBP1
Shigellosis	2/65	0.08853164367205778	0.5102072965027027	0	0	4.159360874592663	10.083934686087476	ARPC2;RIPK2
Measles	3/138	0.08948185508175692	0.5102072965027027	0	0	2.9202962962962964	7.04877585557547	TNFAIP3;RCHY1;EIF2S1
Fluid shear stress and atherosclerosis	3/139	0.09096719239970667	0.5102072965027027	0	0	2.898676470588235	6.948870606292831	HSP90AA1;KDR;HSP90B1
Thyroid hormone synthesis	2/74	0.11006634961923006	0.5651869875664903	0	0	3.637785136129507	8.027398298783927	SLC26A4;HSP90B1
Hepatitis C	3/155	0.11607407797708523	0.5651869875664903	0	0	2.591447368421053	5.580751069596141	PSME3;EIF2S1;TLR3
Primary bile acid biosynthesis	1/17	0.12243306380753789	0.5651869875664903	0	0	8.154194078947368	17.12536351840853	HSD17B4
Peroxisome	2/83	0.13280101901131697	0.5651869875664903	0	0	3.23211511732483	6.525328098365026	NUDT7;HSD17B4
RNA transport	3/165	0.13294323268339014	0.5651869875664903	0	0	2.430246913580247	4.9038325754303	NCBP1;EIF2S1;EIF4G2
PI3K-Akt signaling pathway	5/354	0.13581357786852455	0.5651869875664903	0	0	1.8874390149461782	3.768219304633113	HSP90AA1;KDR;THEM4;GNG11;HSP90B1
Steroid biosynthesis	1/19	0.13582012879504807	0.5651869875664903	0	0	7.247441520467836	14.468965110330698	SOAT1
Pantothenate and CoA biosynthesis	1/19	0.13582012879504807	0.5651869875664903	0	0	7.247441520467836	14.468965110330698	GADL1
Alzheimer disease	3/171	0.14345256405233914	0.5782931488359921	0	0	2.3427380952380954	4.54901371710112	NDUFA5;NDUFA12;NDUFS1
Fc gamma R-mediated phagocytosis	2/91	0.1538111428309957	0.5801988265814468	0	0	2.9403973509933774	5.504511389621976	ARPC2;PIP5K1B
Terpenoid backbone biosynthesis	1/22	0.15552124285113708	0.5801988265814468	0	0	6.211152882205514	11.558787481713889	PDSS1
Protein export	1/23	0.16198861000362844	0.5801988265814468	0	0	5.928528708133971	10.791281392710752	SPCS2
Prostate cancer	2/97	0.16996250370313898	0.5801988265814468	0	0	2.753851516207738	4.880313510064059	HSP90AA1;HSP90B1
Kaposi sarcoma-associated herpesvirus infection	3/186	0.17084798207922022	0.5801988265814468	0	0	2.1490710382513663	3.7973679319854017	ATG3;GNG11;TLR3
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/25	0.1747760909255384	0.5801988265814468	0	0	5.433936403508772	9.478141423883296	PIGU
Progesterone-mediated oocyte maturation	2/99	0.1754089475711351	0.5801988265814468	0	0	2.6967979791083496	4.694141457274148	ANAPC13;HSP90AA1
Biosynthesis of unsaturated fatty acids	1/27	0.18736969971053913	0.5895290551868183	0	0	5.015435222672065	8.399206979343194	HSD17B4
Fatty acid elongation	1/27	0.18736969971053913	0.5895290551868183	0	0	5.015435222672065	8.399206979343194	THEM4
Epstein-Barr virus infection	3/201	0.1995990681036368	0.6006812682238634	0	0	1.9847474747474747	3.1983105686607387	PDIA3;SNW1;TNFAIP3
TNF signaling pathway	2/110	0.20580475339439608	0.6006812682238634	0	0	2.4207750797154772	3.826827475259899	TNFAIP3;BIRC3
Asthma	1/31	0.21198693811864255	0.6006812682238634	0	0	4.345833333333333	6.741389731112457	FCER1A
beta-Alanine metabolism	1/31	0.21198693811864255	0.6006812682238634	0	0	4.345833333333333	6.741389731112457	GADL1
Serotonergic synapse	2/113	0.21419642122711408	0.6006812682238634	0	0	2.3549907523417457	3.6287153572984754	KCNN2;GNG11
Human immunodeficiency virus 1 infection	3/212	0.22137009780231337	0.6057098570296662	0	0	1.8792344497607656	2.833733947583675	PDIA3;GNG11;CUL4B
Regulation of actin cytoskeleton	3/214	0.2253804119180153	0.6057098570296662	0	0	1.8612322274881516	2.7731719642772164	ARPC2;PIP5K1B;ARHGEF6
Neurotrophin signaling pathway	2/119	0.23106993764809225	0.608326978706202	0	0	2.233542763344088	3.272217995978932	MAP3K1;RIPK2
